Replenishment Receive Location,Part Number,TOPMOST,Part Name,foo,Strategic Product,Life Cycle,Frequency,foo,丸め,ＲＥＧ,ＲＥＧ        Sub Amount,ADD,ADD              Sub Amount,Price(FOB),Amount,CostCurrency,Transport by Boat(N+1)月出荷,Transport by Air(N+1)月出荷,ADD Boat(N1) 月出荷,ADD Air(N1) 月出荷,AIR金額,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Order Date,Due Date or Available Date,OrderType,MAPE
210_KDA,AA0001,AA0001,Product-1,foo,n,3:Mature,Freq 6/6,foo,1,8,,-1,,,,,,,,,,,,,,,,
210_KDA,AA0002,AA0002,Product-2,foo,n,4:Decline,Freq 5/6,foo,48,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0003,AA0003,Product-3,foo,n,4:Decline,Freq 3/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0004,AA0004,Product-4,foo,n,4:Decline,Freq 0/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0005,AA0005,Product-5,foo,n,4:Decline,Freq 3/6,foo,1,0,,1,,,,,,,,,,,,,,,,
210_KDA,AA0006,AA0006,Product-6,foo,n,3:Mature,Freq 6/6,foo,1,44,,1,,,,,,,,,,,,,,,,
210_KDA,AA0007,AA0007,Product-7,foo,n,4:Decline,Freq 4/6,foo,12,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0008,AA0008,Product-8,foo,n,4:Decline,Freq 4/6,foo,1,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0009,AA0009,Product-9,foo,n,4:Decline,Freq 3/6,foo,1,0,,1,,,,,,,,,,,,,,,,
210_KDA,AA0010,AA0010,Product-10,foo,n,4:Decline,Freq 4/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0011,AA0011,Product-11,foo,n,4:Decline,Freq 3/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0012,AA0012,Product-12,foo,n,4:Decline,Freq 5/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0013,AA0013,Product-13,foo,n,3:Mature,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0014,AA0014,Product-14,foo,n,3:Mature,Freq 6/6,foo,4,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0015,AA0015,Product-15,foo,n,3:Mature,Freq 6/6,foo,1,12,,5,,,,,,,,,,,,,,,,
210_KDA,AA0016,AA0016,Product-16,foo,n,3:Mature,Freq 6/6,foo,1,40,,0,,,,,,,,,,,,,,,,
210_KDA,AA0017,AA0017,Product-17,foo,n,3:Mature,Freq 6/6,foo,6,24,,46,,,,,,,,,,,,,,,,
210_KDA,AA0018,AA0018,Product-18,foo,n,4:Decline,Freq 5/6,foo,1,10,,-4,,,,,,,,,,,,,,,,
210_KDA,AA0019,AA0019,Product-19,foo,n,4:Decline,Freq 4/6,foo,1,10,,-3,,,,,,,,,,,,,,,,
210_KDA,AA0020,AA0020,Product-20,foo,n,4:Decline,Freq 4/6,foo,1,5,,-2,,,,,,,,,,,,,,,,
210_KDA,AA0021,AA0021,Product-21,foo,n,3:Mature,Freq 6/6,foo,1,2,,3,,,,,,,,,,,,,,,,
210_KDA,AA0022,AA0022,Product-22,foo,n,3:Mature,Freq 6/6,foo,6,0,,0,,,,,,,,,,,,,,,,
210_KDA,AA0023,AA0023,Product-23,foo,n,4:Decline,Freq 4/6,foo,4,2,,0,,,,,,,,,,,,,,,,
