[拠点名],品目番号,品目名称,Strategic Product,ﾗｲﾌｻｲｸﾙ,Strategic Product,foo,Importance,価格,通貨,需要見込み合計［概算］,安全在庫,受注残,手持在庫,下位部品在庫,発注残,要求数量［概算］,発注提案書数量,同月出荷可能数量,N2月月末時点在庫数,N2月中間時点在庫数,Air数量,丸め,PSI,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,6ヶ月平均出荷実績,12ヶ月平均出荷実績,実績期間,DA,DS,L/T,ISP/RSP/GSP,MAPE,予測手法変更,予測数量変更,安全在庫変更,計算された安全在庫,出荷プラント,MRP管理者,予測手法,発注金額,重要品目y1,販社B/O(ASL品),"下降予測
(ﾗｲﾌｻｲｸﾙ1のみ)",月中確認品目,修正有無,修正方法,備考1,備考2,実施内容,対応実施,KDAコメント,S/B対応
210_KDA,AA0014,Product-14,n,3:Mature,Freq 6/6,foo,Normal,128.14,USD,14,10,0,20,0,4,0,0,12,14,16,0,4,1_Order,4,4,0,0,0,,,,,,,3,4,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0014,Product-14,n,3:Mature,Freq 6/6,foo,Normal,128.14,USD,14,10,0,20,0,4,0,0,12,14,16,0,4,2_Incoming,4,0,0,4,0,,,,,,,3,4,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0014,Product-14,n,3:Mature,Freq 6/6,foo,Normal,128.14,USD,14,10,0,20,0,4,0,0,12,14,16,0,4,3_Forecast,3,3,3,4,3,2,2,3,2,5,4,3,4,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0014,Product-14,n,3:Mature,Freq 6/6,foo,Normal,128.14,USD,14,10,0,20,0,4,0,0,12,14,16,0,4,4_End_Stock,11,10,14,17,16,20,,,,,,3,4,12,100,70,35,R,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0043,Product-43,n,3:Mature,Freq 6/6,foo,Normal,55.42,USD,132,8,0,89,0,52,-2,0,0,44,60,0,4,1_Order,28,36,0,0,0,,,,,,,34,37,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0043,Product-43,n,3:Mature,Freq 6/6,foo,Normal,55.42,USD,132,8,0,89,0,52,-2,0,0,44,60,0,4,2_Incoming,36,0,0,40,12,,,,,,,34,37,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0043,Product-43,n,3:Mature,Freq 6/6,foo,Normal,55.42,USD,132,8,0,89,0,52,-2,0,0,44,60,0,4,3_Forecast,33,30,32,35,29,23,35,28,37,32,51,34,37,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0043,Product-43,n,3:Mature,Freq 6/6,foo,Normal,55.42,USD,132,8,0,89,0,52,-2,0,0,44,60,0,4,4_End_Stock,17,14,44,76,71,89,,,,,,34,37,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0059,Product-59,n,4:Decline,Freq 6/6,foo,Normal,53.15,USD,142,6,0,89,0,60,-2,0,0,45,62,0,6,1_Order,36,36,0,0,0,,,,,,,31,36,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
210_KDA,AA0059,Product-59,n,4:Decline,Freq 6/6,foo,Normal,53.15,USD,142,6,0,89,0,60,-2,0,0,45,62,0,6,2_Incoming,36,0,0,5,55,,,,,,,31,36,6,100,70,35,I,R31,,,,,,,,,,,,,,,,,,,,
