名前: U020 Forecast Check Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間: 2023/09/01 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拠点名,品番,品名,需要ストリーム,最重点管理品目,Strategic Product,ライフサイクル,Frequency,傾向性ランク,foo,FOB価格,安全在庫,6ヶ月平均出荷実績,予測手法（EN）,出荷実績　(N-12),出荷実績　(N-11),出荷実績　(N-10),出荷実績　(N-09),出荷実績　(N-08),出荷実績　(N-07),出荷実績　(N-06),出荷実績　(N-05),出荷実績　(N-04),出荷実績　(N-03),出荷実績　(N-02),出荷実績　(N-01),FOB価格x前月出荷数量,12ヶ月平均出荷実績,予測数量(N),予測数量(N+1),予測数量(N+2),予測数量(N+3),予測数量(N+4),予測数量(N+5),予測数量(N+6),予測数量(N+7),予測数量(N+8),予測数量(N+9),予測数量(N+10),予測数量(N+11),Foo,Bar,標準偏差,平均,実績期間,実績率エラー,将来日付を含む受注残,RMSE,MAPE,MAD,計算された安全在庫,在庫タイプ,VMR値,実績の異常値検知,予測手法変更,予測数量変更,需要履歴変更,予測実績乖離1,予測実績乖離2,予測実績乖離3,SVG予測数量(N),SVG予測数量(N+1),SVG予測数量(N+2),SVG予測数量(N+3),SVG予測数量(N+4),SVG予測数量(N+5),SVG予測数量(N+6),SVG予測数量(N+7),SVG予測数量(N+8),SVG予測数量(N+9),SVG予測数量(N+10),SVG予測数量(N+11)
U.S.,AA0001,Product-1,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,2.69,11,5,MovingAverage,6,13,7,8,0,5,3,5,5,8,5,3,8.07,6,4.97,6,5.38,5.08,5.59,4.92,5.33,4.77,4.77,4.61,4.82,5.28,1,1,2.939652,5.667537,12,51.86824541,0,2.3074,0.3778,1.8889,10.8,SH ,1.61039544, ,y, , , , , ,4.97,6,5.38,5.08,5.59,4.92,5.33,4.77,4.77,4.61,4.82,5.28
U.S.,AA0002,Product-2,U.S.,Normal,n,4:Decline,Freq 5/6,T3,foo,20.82,3,2,MovingAverage,2,3,3,0,1,1,5,2,2,0,2,1,20.82,2,1.97,2.38,2.14,2.01,2.22,1.95,2.12,1.89,1.89,1.83,1.91,2.1,1,2,1.337927,1.804125,12,74.15932932,0,1.6087,0.5532,1.0833,3.35,SH ,0.84051092, ,y, , , , , ,1.97,2.38,2.14,2.01,2.22,1.95,2.12,1.89,1.89,1.83,1.91,2.1
U.S.,AA0003,Product-3,U.S.,Normal,n,4:Decline,Freq 3/6,T3,foo,0.25,0,1,MovingAverage,2,2,3,12,0,0,1,0,1,0,3,0,0,2,0.85,1.02,0.91,0.86,0.95,0.84,0.91,0.81,0.81,0.78,0.82,0.9,1,3,1.241814,0.871383,6,142.5106985,0,2.1311,1.6522,1.5833,0.08,SLP,1.69063997, ,y, , , , , ,0.85,1.02,0.91,0.86,0.95,0.84,0.91,0.81,0.81,0.78,0.82,0.9
U.S.,AA0004,Product-4,U.S.,Normal,n,4:Decline,Freq 0/6,T1,foo,0.2,0,0,MovingAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,0.00E+00,0,0.2282,2,0.2083,0,SL ,0.00E+00, ,y, , , , , ,0,0,0,0,0,0,0,0,0,0,0,0
U.S.,AA0005,Product-5,U.S.,Normal,n,4:Decline,Freq 3/6,T2,foo,32.13,0,1,MovingAverage,0,4,2,0,0,1,3,0,4,0,0,1,32.13,1,1.32,1.59,1.43,1.35,1.48,1.31,1.41,1.26,1.26,1.22,1.28,1.4,1,5,1.826176,1.359427,6,134.3342452,0,1.472,1.0769,1.1667,0,SLP,2.34356056, ,y, , , , ,y,1.32,1.59,1.43,1.35,1.48,1.31,1.41,1.26,1.26,1.22,1.28,1.4
U.S.,AA0006,Product-6,U.S.,Normal,n,3:Mature,Freq 6/6,T4,foo,2.32,55,22,MovingAverage,34,32,33,17,24,12,3,34,47,7,4,38,88.16,24,22.46,27.09,24.31,22.92,25.23,22.23,24.08,21.53,21.53,20.84,21.76,23.85,1,6,15.067636,23.702358,12,63.57019837,0,19.7673,0.8882,19.3056,55.36,SH ,9.36833023, ,y, , , , , ,22.46,27.09,24.31,22.92,25.23,22.23,24.08,21.53,21.53,20.84,21.76,23.85
U.S.,AA0007,Product-7,U.S.,Normal,n,4:Decline,Freq 4/6,T4,foo,18.02,10,2,MovingAverage,1,3,1,2,3,0,5,1,7,0,1,0,0,2,2.34,2.82,2.53,2.39,2.63,2.32,2.51,2.24,2.24,2.17,2.27,2.48,1,7,3.070546,2.412279,6,127.2881785,0,3.0307,1.1905,2.7778,7.04,SH ,3.73379722, ,y, , , , , ,2.34,2.82,2.53,2.39,2.63,2.32,2.51,2.24,2.24,2.17,2.27,2.48
U.S.,AA0008,Product-8,U.S.,Normal,n,4:Decline,Freq 4/6,T3,foo,20.84,2,1,MovingAverage,2,3,1,2,0,2,1,1,1,0,0,1,20.84,1,0.66,0.8,0.71,0.67,0.74,0.65,0.71,0.63,0.63,0.61,0.64,0.7,1,8,0.529367,0.680492,6,77.79180358,0,1.6457,1.2258,1.5833,1.72,SLP,0.39340329, ,y, , , , ,y,0.66,0.8,0.71,0.67,0.74,0.65,0.71,0.63,0.63,0.61,0.64,0.7
U.S.,AA0009,Product-9,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,34.01,0,1,MovingAverage,1,3,0,0,0,1,0,1,2,0,0,0,0,1,0.52,0.63,0.56,0.53,0.59,0.52,0.56,0.5,0.5,0.48,0.51,0.55,1,9,0.92205,0.655209,12,140.7260889,0,0.9052,1.4146,0.8056,0.2,SLP,1.51066813, ,y, , , , , ,0.52,0.63,0.56,0.53,0.59,0.52,0.56,0.5,0.5,0.48,0.51,0.55
U.S.,AA0010,Product-10,U.S.,Normal,n,4:Decline,Freq 4/6,,foo,147,11,3,MovingAverage,16,2,10,7,2,0,4,5,1,0,3,3,441,4,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,1,10,4.66044,4.416667,12,105.5193883,0,6.3626,1.0531,5.2519,10.69,SH ,8.24462016, , , , , , ,y,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67,2.67
U.S.,AA0011,Product-11,U.S.,Normal,n,4:Decline,Freq 3/6,,foo,198.56,0,1,MovingAverage,0,2,0,1,3,1,0,1,1,0,0,1,198.56,1,0.5,0.61,0.55,0.52,0.57,0.5,0.54,0.48,0.48,0.47,0.49,0.54,1,11,0.571163,0.520235,6,109.7894221,0,0.8165,0.8889,0.6667,0.26,SLP,0.59905605, ,y, , , , ,y,0.5,0.61,0.55,0.52,0.57,0.5,0.54,0.48,0.48,0.47,0.49,0.54
U.S.,AA0012,Product-12,U.S.,Normal,n,4:Decline,Freq 5/6,T3,foo,93.57,2,1,MovingAverage,0,1,0,3,0,1,1,0,1,1,1,0,0,1,0.68,0.82,0.74,0.69,0.77,0.67,0.73,0.65,0.65,0.63,0.66,0.72,1,12,0.546002,0.701958,6,77.78271635,0,0.5569,0.5455,0.4167,1.65,SLP,0.40571807, ,y, , , , , ,0.68,0.82,0.74,0.69,0.77,0.67,0.73,0.65,0.65,0.63,0.66,0.72
U.S.,AA0013,Product-13,U.S.,2nd Most Important,n,3:Mature,Freq 6/6,,foo,198.56,0,4,MovingAverage,16,14,4,2,17,9,6,1,7,2,2,7,1389.92,7,4.13,4.98,4.47,4.21,4.64,4.08,4.42,3.96,3.96,3.83,4,4.38,1,13,2.764916,4.252897,6,65.01253146,0,7.3835,0.8785,6.5278,0,SH ,1.71722046, ,y, , , , ,y,4.13,4.98,4.47,4.21,4.64,4.08,4.42,3.96,3.96,3.83,4,4.38
U.S.,AA0014,Product-14,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,128.14,10,3,MovingAverage,7,7,3,3,2,4,4,5,2,3,2,2,256.28,4,3.04,3.66,3.29,3.1,3.41,3,3.25,2.91,2.91,2.82,2.94,3.22,1,14,1.740934,3.655346,12,47.62706458,0,1.5501,0.4658,1.4167,1.7,SH ,0.92526252, ,y, , , , , ,3.04,3.66,3.29,3.1,3.41,3,3.25,2.91,2.91,2.82,2.94,3.22
U.S.,AA0015,Product-15,U.S.,Normal,n,3:Mature,Freq 6/6,,foo,22.21,10,14,MovingAverage,24,29,38,21,8,18,21,8,8,29,5,12,266.52,18,15.91,19.18,17.22,16.23,17.87,15.74,17.05,15.25,15.25,14.76,15.41,16.89,1,15,10.083931,14.431411,6,69.87487918,0,9.555,0.5823,8.2998,0,SH ,5.9242689, ,y, , , , , ,15.91,19.18,17.22,16.23,17.87,15.74,17.05,15.25,15.25,14.76,15.41,16.89
U.S.,AA0016,Product-16,U.S.,Normal,n,3:Mature,Freq 6/6,T4,foo,20.19,0,27,MovingAverage,0,0,12,2,0,3,67,20,22,18,34,0,0,15,26.8,32.32,29.01,27.35,30.11,26.52,28.73,25.69,25.69,24.86,25.97,28.45,1,16,21.455087,27.625763,6,77.66332825,0,28.4617,1.036,19.7917,0,SH ,15.91817466, ,y, , , , ,y,26.8,32.32,29.01,27.35,30.11,26.52,28.73,25.69,25.69,24.86,25.97,28.45
